,Fiscal Year,US Category Name,Constant Dollar Amount
702,2023,Economic Development,3286039901
703,2023,Education and Social Services,1230714204
704,2023,Environment,645820746
705,2023,Health,11698876617
706,2023,Humanitarian Assistance,18084602207
707,2023,Multi-sector,4860285660
708,2023,Peace and Security,14722950124
709,2023,Program Support,617259369
710,2024,"Democracy, Human Rights, and Governance",1408158697
711,2024,Economic Development,3375150953
712,2024,Education and Social Services,911170819
713,2024,Environment,205201980
714,2024,Health,6724190837
715,2024,Humanitarian Assistance,12064533019
716,2024,Multi-sector,597978925
717,2024,Peace and Security,950037839
718,2024,Program Support,3191254037
