STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PF,French Polynesia,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,13.68,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,10.07,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,3.1,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,AS,American Samoa,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,14.05,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,19.85,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,MP,Northern Mariana Islands,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,1.17,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,48.61,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,29.63,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,7.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,MH,Marshall Islands,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,38.89,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,17.16,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,15.34,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,4.29,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PW,Palau,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,9.35,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NR,Nauru,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,20,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PF,French Polynesia,AG_LND_AGRI_ZS,Agricultural land (% of land area),2018,,13.68,,,,,,,,,,,
