STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2031,,31,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2032,,30,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2033,,30,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2034,,29,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2035,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2036,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2037,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2038,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2039,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2040,,27,,PERCENT,percent,,,F,Forecasted value,,,,
